mol_idx,edit_type,site_idx,n_depths_used,entropy_mean,entropy_std,entropy_range
1554,b,14,6,4.298132499059041,0.3528757773791702,0.9316673278808594
1555,a,17,6,4.283072233200073,0.1559330517082638,0.3614201545715332
1556,b,24,6,3.923438469568888,0.32282981715941933,0.8375604152679443
1557,b,33,6,4.131129900614421,0.309420746724144,0.7680330276489258
1558,b,15,6,3.894842545191447,0.3429547138752216,0.8564481735229492
1559,b,22,6,3.5938512881596885,0.3530054369354526,0.868793249130249
1560,b,42,6,4.596087376276652,0.2970005512854017,0.741274356842041
1561,b,54,6,4.088850617408752,0.5225293866806634,1.2115378379821777
1562,b,20,6,3.3844298919041953,0.48366354191129957,1.1705574989318848
1563,b,12,6,3.4153126875559487,0.5339531045456906,1.368163824081421
1564,a,2,6,3.273867646853129,0.11013597887902869,0.2662510871887207
1565,b,9,6,2.950713038444519,0.4247045506907018,1.1273832321166992
1566,b,15,6,3.8839135567347207,0.4209161246821086,1.0501976013183594
1567,a,13,6,3.9298336108525596,0.18053772166602403,0.46283602714538574
1568,b,8,6,4.257152517636617,0.3625314146857033,1.029876947402954
1569,b,28,6,4.101594924926758,0.43131176841948443,1.1309020519256592
1570,b,29,6,3.754183808962504,0.4181222999895229,1.1236956119537354
1571,b,29,6,4.0619529485702515,0.49239203808762344,1.1866538524627686
1572,b,37,6,3.726701577504476,0.35265612589886103,0.8615584373474121
1573,b,43,6,3.973950823148092,0.4502638079159803,1.1370127201080322
1574,a,13,6,3.715546806653341,0.1347505309026416,0.33715200424194336
1575,b,34,6,4.305277784665425,0.4170576300177173,1.030055046081543
1576,b,28,6,3.9111706415812173,0.4065481308017775,1.0433204174041748
1577,a,1,6,3.5680334170659385,0.19766498662722243,0.48163914680480957
1578,b,16,6,3.789167563120524,0.3446888625613308,0.929436206817627
1579,b,21,6,3.8128658135732016,0.38666679111047925,1.018298625946045
1580,a,20,6,4.3707347710927325,0.20745567184149752,0.47962427139282227
1581,b,9,6,4.012968381245931,0.40935224578612966,0.9631235599517822
1582,b,29,6,3.8182429472605386,0.4394158989995232,1.0666515827178955
1583,b,93,6,4.711119651794434,0.37784636300673535,0.9462509155273438
1584,b,20,6,3.247418522834778,0.3608307216301142,0.8657011985778809
1585,b,20,6,4.007621884346008,0.4475387470691752,1.147655963897705
1586,b,14,6,3.6315624713897705,0.4850567558828339,1.144533395767212
1587,b,50,6,4.062572240829468,0.37516602843126834,0.8972005844116211
1588,b,15,6,3.7872891823450723,0.3712854459511963,1.0190401077270508
1589,b,7,6,3.350273013114929,0.4711908284695009,1.249302864074707
1590,b,15,6,3.904085715611776,0.4334922651548059,1.0910437107086182
1591,b,20,6,3.642741401990255,0.451872085872668,1.110102891921997
1592,b,13,6,4.153465390205383,0.33295195716077625,0.7932491302490234
1593,a,24,6,4.234376470247905,0.1871293694342409,0.5014326572418213
1594,b,16,6,3.287416418393453,0.257104449281795,0.6124777793884277
1595,b,13,6,3.6236493984858194,0.3917860279471042,0.9703927040100098
1596,b,1,6,3.053543289502462,0.1946688452305279,0.4554443359375
1597,b,1,6,3.3972076972325644,0.3757179894195491,0.8463881015777588
1598,b,2,6,3.640886982282003,0.3043793897424544,0.7430968284606934
1599,a,0,6,3.8991019328435264,0.28476743882430217,0.7045578956604004
1600,b,22,6,3.8162965377171836,0.5037684576983936,1.2251839637756348
1601,b,16,6,2.956733226776123,0.5423700173076619,1.2714555263519287
1602,b,1,6,3.37185271581014,0.284707963390758,0.7476639747619629
